time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,data201,data202,data203,data204,data205,data206,data207,data208,data209,data210,data211,data212,data213,data214,data215,data216,data217,data218,data219,data220,data221,data222,data223,data224,data225,data226,data227,data228,data229,data230,data231,data232,data233,data234,data235,data236,data237,data238,data239,data240,data241,data242,data243,data244,data245,data246,data247,data248,data249,data250,data251,data252,data253,data254,data255,data256,data257,data258,data259,data260,data261,data262,data263,data264,data265,data266,data267,data268,data269,data270,data271,data272,data273,data274,data275,data276,data277,data278,data279,data280,data281,data282,data283,data284,data285,data286,data287,data288,data289,data290,data291,data292,data293,data294,data295,data296,data297,data298,data299,data300,data301,data302,data303,data304,data305,data306,data307,data308,data309,data310,data311,data312,data313,data314,data315,data316,data317,data318,data319,data320,data321,data322,data323,data324,data325,data326,data327,data328,data329,data330,data331,data332,data333,data334,data335,data336,data337,data338,data339,data340,data341,data342,data343,data344,data345,data346,data347,data348,data349,data350,data351,data352,data353,data354,data355,data356,data357,data358,data359,data360,data361,data362,data363,data364,data365,data366,data367,data368,data369,data370,data371,data372,data373,data374,data375,data376,data377,data378,data379,data380,data381,data382,data383,data384,class
1,83,-80,4,0,0,0,0,0,0,0,0,-5,2,-18,1,-18,1,-18,0,-18,-1,-17,-2,-17,-2,-16,-2,-15,-2,-16,-3,-16,-3,-16,-4,-16,-4,-15,-3,-15,-3,-14,-5,-14,-5,-13,-6,-12,-7,-11,-8,-11,-8,-11,-8,-10,-8,-10,-9,-10,-10,-10,-11,-10,-6,-5,-12,-9,-13,-8,-14,-7,-15,-7,-16,-7,-17,-7,-18,-8,-19,-8,-19,-9,-20,-10,-20,-11,-20,-13,-19,-13,-19,-13,-19,-14,-19,-14,-19,-15,-17,-15,-15,-15,-15,-15,-14,-15,-13,-14,-12,-14,-12,-14,-10,-13,-9,-13,-2,-4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
2,83,-80,4,0,0,0,0,0,0,0,-2,-1,-8,-1,-7,-1,-8,-1,-8,-1,-7,0,-7,0,-7,0,-7,0,-7,0,-6,0,-6,0,-6,1,-6,1,-6,1,-6,1,-6,1,-5,1,-5,1,-5,2,-5,2,-5,2,-5,2,-5,2,-5,3,-5,3,-5,4,-2,2,-4,4,-4,4,-4,5,-4,5,-4,5,-5,6,-5,6,-5,6,-5,7,-5,6,-6,6,-6,6,-7,6,-7,6,-8,6,-8,5,-8,5,-8,4,-7,4,-7,3,-8,3,-8,2,-7,2,-7,1,-7,1,-6,2,-2,0,0,0,0,0,0,0,0,0,-1,-1,-2,-1,-15,-6,-15,-5,-15,-4,-14,-3,-14,-2,-14,-2,-14,-1,-14,-1,-13,-1,-13,0,-13,0,-12,0,-13,1,-12,0,-12,0,-11,1,-11,1,-11,1,-10,2,-10,3,-10,3,-9,3,-9,4,-9,4,-9,4,-9,5,-9,5,-9,5,-9,6,-8,7,-8,7,-7,7,-7,8,-7,8,-7,9,-7,10,-7,11,-8,12,-9,12,-9,12,-9,13,-10,13,-12,13,-13,13,-13,12,-13,11,-13,10,-14,10,-14,9,-14,7,-14,6,-14,6,-14,6,-13,5,-13,4,-12,3,-9,3,-3,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-6,-9,-22,-35,-21,-37,-20,-39,-19,-41,-16,-43,-13,-43,-10,-44,-7,-45,-5,-46,-2,-45,1,-44,3,-44,5,-44,7,-42,7,-40,7,-38,8,-37,7,-36,7,-34,9,-33,9,-33,8,-33,8,-32,8,-31,8,-31,7,-32,10,-31,7,-30,6,-30,5,-29,5,-28,5,-29,5,-29,5,-29,5,-30,4,-31,4,-30,4,-30,5,-30,5,-31,5,-31,6,-30,6,-30,7,-30,7,-28,6,-27,6,-27,7,-26,8,-25,8,-24,8,-23,8,-23,9,-22,10,-20,9,-21,8,-20,7,-19,0,-3,dr
3,83,-80,4,0,0,0,0,0,0,0,1,-2,6,-5,6,-5,5,-5,5,-6,5,-6,5,-5,4,-5,4,-5,4,-5,4,-6,4,-6,4,-6,3,-6,3,-5,3,-5,2,-6,2,-6,2,-6,2,-6,1,-6,1,-6,1,-6,1,-6,1,-7,1,-7,0,-7,0,-4,0,-7,0,-7,0,-8,0,-8,0,-8,0,-9,0,-9,0,-9,0,-10,0,-10,1,-10,2,-10,2,-10,2,-10,2,-10,3,-10,3,-9,3,-9,3,-8,4,-8,4,-8,4,-7,4,-7,4,-6,4,-6,3,-6,0,-2,0,0,0,0,0,0,0,0,0,-1,2,-2,16,-8,15,-8,14,-8,13,-8,12,-9,11,-9,11,-10,10,-10,9,-10,9,-10,8,-10,8,-10,8,-10,8,-10,8,-10,8,-10,7,-10,7,-10,6,-10,5,-11,4,-11,3,-11,3,-11,3,-11,3,-12,2,-12,2,-12,2,-12,2,-13,1,-13,2,-14,1,-13,0,-14,0,-14,0,-15,0,-15,0,-16,0,-16,0,-17,0,-17,1,-18,2,-19,3,-19,3,-19,4,-19,5,-19,5,-18,6,-17,7,-16,7,-15,7,-15,8,-14,8,-13,7,-12,7,-11,7,-11,7,-12,2,-4,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,43,-1,45,0,46,4,47,7,46,10,45,13,45,16,45,19,44,23,42,27,39,29,38,30,36,31,33,32,31,32,29,32,28,31,25,30,24,29,23,30,22,30,21,30,20,29,19,29,19,29,20,28,19,28,18,27,18,26,19,25,18,24,18,25,18,25,18,24,18,24,19,24,19,24,19,24,18,24,19,25,19,24,19,24,19,25,18,25,16,24,15,23,15,23,14,24,13,24,12,23,12,23,11,23,10,23,9,23,10,22,10,21,9,20,1,2,dr
4,83,-80,4,0,0,0,0,0,0,0,1,-1,6,-4,6,-5,6,-5,5,-5,5,-5,4,-5,4,-5,4,-5,4,-5,4,-5,4,-5,4,-5,3,-5,4,-5,4,-5,3,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-6,2,-6,1,-6,1,-7,1,-7,0,-4,1,-7,1,-7,0,-7,1,-7,1,-7,1,-7,1,-8,1,-8,1,-8,1,-9,2,-9,2,-9,3,-9,3,-8,3,-8,3,-8,3,-8,4,-7,4,-7,4,-6,4,-6,4,-5,4,-5,3,-5,3,-5,4,-4,1,-1,0,0,0,0,0,0,0,0,0,-1,1,-3,8,-15,8,-15,7,-15,6,-14,8,-11,8,-11,7,-11,6,-11,6,-11,5,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,3,-10,3,-11,2,-11,1,-10,0,-10,0,-10,0,-10,0,-11,0,-11,0,-11,-1,-11,-1,-12,-1,-12,-5,-12,-2,-11,-2,-12,-3,-12,-3,-12,-3,-13,-3,-13,-4,-13,-3,-14,-3,-15,-3,-15,-2,-16,-1,-16,-1,-16,0,-16,0,-16,0,-16,1,-15,2,-14,2,-13,3,-13,3,-12,3,-12,3,-11,3,-11,3,-11,4,-10,1,-4,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-2,0,-1,0,1,-2,10,-5,34,-12,36,-11,38,-9,39,-6,40,-3,40,-1,40,2,40,5,40,8,40,11,39,13,37,15,35,17,33,17,32,17,31,18,29,17,28,17,27,17,26,17,25,18,25,17,24,17,23,17,23,17,23,17,28,10,22,15,22,14,22,14,22,13,22,14,23,14,23,14,24,14,24,14,24,14,24,14,24,14,24,14,24,14,24,15,24,15,23,16,22,16,21,15,21,16,19,17,19,17,18,17,17,17,16,17,15,17,20,12,20,12,20,12,20,11,3,1,dr
5,83,-80,4,0,0,0,0,0,0,0,0,-2,0,-8,0,-7,-1,-7,-1,-7,-1,-7,-1,-6,-1,-6,-2,-6,-2,-6,-2,-6,-2,-6,-2,-6,-2,-6,-2,-5,-3,-5,-3,-5,-4,-5,-4,-5,-4,-5,-4,-5,-4,-5,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-3,-3,-6,-5,-6,-5,-6,-5,-6,-5,-6,-5,-7,-5,-7,-5,-7,-5,-7,-6,-7,-6,-7,-7,-6,-7,-6,-7,-6,-7,-6,-7,-6,-7,-5,-8,-5,-8,-4,-7,-4,-7,-3,-7,-3,-7,-3,-6,-3,-6,-2,-6,-3,-6,-1,-2,0,0,0,0,0,0,0,0,-1,-1,-2,-3,-7,-16,-7,-16,-7,-15,-7,-14,-3,-14,-4,-13,-4,-13,-5,-12,-5,-12,-5,-11,-5,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-10,-6,-9,-6,-9,-7,-8,-8,-8,-8,-7,-9,-7,-9,-6,-9,-6,-9,-7,-10,-7,-10,-7,-10,-6,-11,-6,-11,-7,-12,-5,-11,-6,-11,-6,-12,-6,-12,-6,-12,-6,-13,-6,-14,-6,-14,-7,-15,-7,-15,-8,-15,-9,-15,-9,-14,-10,-14,-11,-13,-11,-12,-11,-11,-11,-10,-11,-10,-11,-9,-11,-8,-11,-8,-11,-7,-10,-7,-10,-7,-9,-7,-9,-3,-3,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,1,-1,0,-1,-3,2,-11,12,-35,13,-36,15,-36,18,-36,21,-35,23,-33,25,-32,28,-31,31,-29,33,-27,35,-25,36,-22,35,-20,34,-18,34,-17,34,-16,33,-15,32,-14,31,-13,31,-11,31,-11,31,-10,31,-10,31,-9,31,-9,30,-9,27,-17,27,-8,27,-9,27,-9,26,-9,26,-8,27,-8,26,-9,26,-10,26,-10,26,-10,26,-10,26,-9,27,-9,27,-9,27,-9,27,-9,27,-8,26,-8,25,-7,25,-6,25,-5,25,-4,24,-4,24,-3,23,-2,22,-1,22,-7,21,-7,21,-8,20,-8,3,-2,dr
6,83,-80,4,0,0,0,0,0,0,0,1,-2,4,-6,4,-6,3,-6,3,-6,3,-6,2,-6,2,-6,2,-6,2,-6,2,-6,2,-6,1,-7,1,-6,1,-6,1,-6,1,-6,1,-6,0,-6,0,-6,0,-6,0,-6,0,-6,0,-6,0,-7,0,-7,0,-7,0,-4,0,-7,0,-7,0,-7,-1,-7,0,-7,-1,-8,-1,-8,0,-8,0,-9,0,-9,0,-9,1,-9,1,-9,1,-9,2,-8,2,-8,2,-8,2,-8,3,-7,3,-7,3,-7,3,-6,3,-6,3,-5,3,-5,2,-6,0,-2,0,0,0,0,0,0,0,0,0,-1,2,-3,12,-12,11,-12,10,-12,9,-12,8,-12,7,-12,7,-12,6,-12,5,-12,5,-11,4,-11,4,-11,4,-11,4,-12,4,-12,4,-12,3,-12,3,-12,3,-12,2,-12,2,-12,1,-12,1,-12,1,-12,1,-12,1,-12,1,-12,0,-12,0,-12,0,-13,0,-13,-1,-12,-1,-13,-1,-13,-1,-14,-1,-14,-1,-14,-1,-15,-1,-15,0,-16,0,-16,1,-16,1,-16,2,-17,3,-16,3,-16,4,-15,4,-14,4,-14,5,-13,5,-13,6,-12,6,-11,6,-10,5,-9,5,-9,3,-10,0,-3,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,1,-2,7,-9,27,-28,29,-27,32,-26,34,-24,36,-22,37,-19,39,-15,40,-13,42,-10,43,-7,43,-4,43,-2,42,0,41,2,39,3,38,5,36,5,34,6,33,6,32,8,32,8,31,9,31,9,30,9,30,9,30,9,29,10,28,9,28,8,28,8,27,8,27,8,28,9,28,9,28,9,28,8,28,9,28,9,28,10,28,11,29,11,28,11,28,12,27,12,26,13,25,13,23,13,22,14,22,15,21,15,20,15,18,16,17,16,16,17,15,16,15,16,15,15,2,2,dr
7,83,-80,4,0,0,0,0,0,0,0,0,4,2,17,3,17,4,17,4,16,4,16,4,15,5,14,5,14,5,14,6,14,7,14,7,14,7,14,7,14,7,13,7,12,7,12,7,11,8,11,9,11,9,11,9,10,9,10,10,11,11,11,11,10,6,5,13,10,13,10,13,10,13,10,14,10,15,11,15,11,15,12,15,13,16,13,15,13,15,14,14,15,14,16,12,16,11,16,11,16,9,16,8,16,7,16,7,15,6,14,5,13,5,12,5,12,5,11,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
8,83,-80,4,0,0,0,0,0,0,0,-4,3,-13,14,-12,14,-10,14,-9,15,-8,14,-7,13,-6,13,-6,13,-5,14,-5,15,-5,15,-4,15,-4,15,-4,14,-3,13,-1,14,0,14,0,14,1,14,1,14,2,14,2,15,2,16,2,16,3,16,3,16,2,8,5,17,6,17,6,18,6,18,5,18,6,19,7,20,7,21,6,22,6,22,5,22,4,22,3,22,2,23,2,22,1,23,0,23,-1,21,-2,20,-3,19,-3,18,-4,17,-3,17,-3,15,-3,14,-4,15,-1,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
9,83,-80,4,0,0,0,0,0,0,0,-4,3,-13,14,-13,14,-12,15,-10,15,-9,15,-9,14,-8,14,-7,15,-7,15,-8,16,-8,16,-7,16,-7,16,-7,15,-6,15,-5,15,-4,15,-4,14,-3,14,-3,15,-2,15,-2,15,-2,15,-2,16,-1,17,-2,17,-1,8,0,18,1,18,1,18,1,18,1,18,1,19,1,20,1,21,0,22,-1,22,-2,22,-3,22,-4,22,-4,22,-4,21,-5,20,-5,20,-6,19,-6,18,-7,17,-7,16,-7,15,-7,15,-7,14,-7,13,-6,11,-2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
10,83,-80,4,0,0,0,0,0,0,0,2,-5,9,-17,8,-18,7,-17,6,-17,5,-17,5,-16,4,-16,3,-16,3,-16,2,-16,1,-17,0,-17,0,-16,0,-16,-1,-15,-2,-15,-2,-15,-3,-14,-3,-14,-4,-15,-5,-15,-5,-15,-5,-15,-6,-16,-8,-17,-8,-17,-4,-9,-8,-18,-9,-18,-10,-18,-10,-18,-10,-18,-10,-19,-10,-20,-10,-21,-10,-22,-10,-22,-10,-22,-9,-23,-8,-24,-7,-24,-5,-24,-4,-24,-3,-23,-2,-22,-2,-21,-1,-20,0,-19,1,-18,1,-18,0,-17,0,-16,1,-15,0,-4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
